"id","trilha que pertence","nome do curso","horas de curso","linguagem","framework que aprende","descrição do curso","quais habilidades receberei ao final do curso","projetos a serem entregues","avaliação do curso interna","quais projetos são desenvolvidos","pre requisitos","comentario seu sobre o curso"
"69","não encontrado","Explorando a API da OpenAI","5h 20min","Python","não encontrado","Domine a API da OpenAI com Python e crie soluções inovadoras em IA.","Interagir com API OpenAI | Gerar textos com ChatGPT | Criar chatbots inteligentes | Personalizar IA com Fine Tuning | Analisar dados com Assistants API | Manipular imagens via Dall-e | Aplicar visão computacional GPT-Vision | Converter texto em áudio | Transcrever áudios eficientemente | Desenvolver chatbot com reconhecimento vocal","Apresentação – Explorando API da OpenAI | Explorando a documentação da API | Adicionando saldo a sua conta da OpenAI | Inicializando a biblioteca da OpenAI | Erros comuns ao usar a API da OpenAI | Quiz – Introdução à API da OpenAI | Utilizando o ChatGPT para gerar textos | Gerando uma stream de texto | DESAFIO – Criando um Chatbot em Python | Adicionando funções e ferramentas externas | DESAFIO – ChatBot Finanças – Parte 1 | DESAFIO – ChatBot Finanças – Parte 2 | Criando um novo modelo com Fine Tuning | Utilizando um modelo treinado com Fine Tuning | Quiz – Geração de texto e Fine Tuning | Apresentando a Assistants API | Analisando dados com Assistants Code Interpreter | Analisando arquivos PDF com Assistants Retrieval | Quiz – Assistants da OpenAI | Criando e editando imagens com DALL-E | Visão computacional com GPT-Vision | Criação de áudios a partir de textos | Transcrição de áudios | Mini-projeto – Chatbot com reconhecimento de fala | Quiz – Modelos de imagens e áudio | Finalização – Explorando API da OpenAI | Teste Final","4.8","Apresentação – Explorando API da OpenAI | Explorando a documentação da API | Adicionando saldo a sua conta da OpenAI | Inicializando a biblioteca da OpenAI | Erros comuns ao usar a API da OpenAI | Quiz – Introdução à API da OpenAI | Utilizando o ChatGPT para gerar textos | Gerando uma stream de texto | DESAFIO – Criando um Chatbot em Python | Adicionando funções e ferramentas externas | DESAFIO – ChatBot Finanças – Parte 1 | DESAFIO – ChatBot Finanças – Parte 2 | Criando um novo modelo com Fine Tuning | Utilizando um modelo treinado com Fine Tuning | Quiz – Geração de texto e Fine Tuning | Apresentando a Assistants API | Analisando dados com Assistants Code Interpreter | Analisando arquivos PDF com Assistants Retrieval | Quiz – Assistants da OpenAI | Criando e editando imagens com DALL-E | Visão computacional com GPT-Vision | Criação de áudios a partir de textos | Transcrição de áudios | Mini-projeto – Chatbot com reconhecimento de fala | Quiz – Modelos de imagens e áudio | Finalização – Explorando API da OpenAI | Teste Final","Não informado na página - verificar ementa","Avaliação interna alta, conteúdo consolidado."
"70","Criando Agentes Pessoais com Hermes Agent","Comece por aqui - Criando Agentes Pessoais com Hermes Agent","3min","Hermes Agent (IA)","Hermes Agent, MCP","Conheça o caminho completo para criar agentes de IA com o Hermes Agent, do primeiro setup às integrações avançadas. Curso de onboarding da Trilha","Instalação, configuração e entendimento da arquitetura do Hermes Agent. | Criação de agentes de IA capazes de atuar em diferentes canais. | Integração de ferramentas externas por meio de MCPs e Skills. | Aplicação de boas práticas para construir agentes mais robustos, eficientes e escaláveis.","não encontrado","4.9","Comece por aqui – Criando Agentes Pessoais com Hermes Agent","Nenhum - curso introdutório / onboarding","Curso de onboarding, curta duração, ideal para entender a trilha antes de investir tempo nos módulos técnicos."
"71","Dominando o ecossistema Claude","Claude Desktop e Cowork","2h 54min","Claude / Prompt Engineering (IA)","RAG","Domine o Claude Desktop e Cowork para ganhar produtividade nas suas tarefas do dia a dia, criando automações e skills na prática.","Instalar o Claude Desktop no Windows e no Mac. | Navegar pela interface e pelos principais componentes do modo Chat. | Trabalhar com histórico, reaproveitamento e contexto de conversas. | Usar anexos de imagem e documentos nas conversas. | Diferenciar o Cowork do Chat e saber quando usar cada um. | Automatizar tarefas e interagir com arquivos do seu computador. | Configurar conectores para ferramentas como Gmail e Google Drive.","Introdução – Claude Desktop | Instalação Claude Desktop – Windows | Instalação Claude Desktop – MacOS | Interface do Claude Desktop | Utilizações práticas do Claude Desktop | Criando conexões externas com Claude Desktop | Manipulando imagens com Claude Desktop | Criando prompts mais produtivos | Avaliador de Currículos – Criando uma skill no Claude Desktop | Como trabalhar com projetos no Claude Desktop | O que é o Claude Cowork? | Definindo pasta de trabalho no Claude Cowork | Criando um projeto no Claude Cowork | Criando uma skill no Claude Cowork | Conectando o Claude Cowork com ferramentas externas | Realizando agendamentos no Claude Cowork | Criando uma skill e agendamento no Claude Cowork | Criando um assistente de RH no Claude Cowork | O desafio do professor em suas tarefas | Usando o Claude como apoio pedagógico | Criando formulários com Claude | Feedback automatizado | Criando animações com Remotion | O desafio do nutricionista em suas tarefas | O uso responsável do Claude na Nutrição | O desafio do profissional de RH | O uso responsável do Claude no recrutamento | Ranqueamento de currículos","4.7","Introdução – Claude Desktop | Instalação Claude Desktop – Windows | Instalação Claude Desktop – MacOS | Interface do Claude Desktop | Utilizações práticas do Claude Desktop | Criando conexões externas com Claude Desktop | Manipulando imagens com Claude Desktop | Criando prompts mais produtivos | Avaliador de Currículos – Criando uma skill no Claude Desktop | Como trabalhar com projetos no Claude Desktop | O que é o Claude Cowork? | Definindo pasta de trabalho no Claude Cowork | Criando um projeto no Claude Cowork | Criando uma skill no Claude Cowork | Conectando o Claude Cowork com ferramentas externas | Realizando agendamentos no Claude Cowork | Criando uma skill e agendamento no Claude Cowork | Criando um assistente de RH no Claude Cowork | O desafio do professor em suas tarefas | Usando o Claude como apoio pedagógico | Criando formulários com Claude | Feedback automatizado | Criando animações com Remotion | O desafio do nutricionista em suas tarefas | O uso responsável do Claude na Nutrição | O desafio do profissional de RH | O uso responsável do Claude no recrutamento | Ranqueamento de currículos","Recomendado concluir módulos anteriores da trilha 'Dominando o ecossistema Claude' ou ter base em Claude / Prompt Engineering (IA)","Curso intermediário, bom para aprofundar e complementar trilha."
"72","Dominando o ecossistema Claude","Comece por aqui - Dominando o ecossistema Claude","1min","Python + Excel","Claude Code, Excel","Conheça o caminho completo para dominar o ecossistema Claude e automatizar tarefas do dia a dia sem escrever código. Curso de onboarding da Trilha.","Instalar e configurar o Claude Desktop do zero | Usar o Claude Cowork para delegar tarefas completas ao agente no computador | Criar um analista de contratos e um analista de dados com IA | Automatizar o briefing diário de e-mails e agenda | Integrar o Claude com Excel, PowerPoint e Google Chrome | Usar o Claude Code para desenvolver aplicações e automatizar tarefas com IA","não encontrado","4.9","Comece por aqui – Dominando o Ecossistema do Claude","Nenhum - curso introdutório / onboarding","Curso de onboarding, curta duração, ideal para entender a trilha antes de investir tempo nos módulos técnicos."
"73","Ferramentas de AI para Desenvolvedores","Comece por aqui - Ferramentas de AI para Desenvolvedores","1min","IA (Claude/Cursor/Antigravity)","não encontrado","Conheça o caminho completo para dominar as principais ferramentas de desenvolvimento com IA e multiplicar sua produtividade. Curso de onboarding da Trilha.","não encontrado","não encontrado","4.8","Comece por aqui – Ferramentas com AI para desenvolvedores","Nenhum - curso introdutório / onboarding","Curso de onboarding, curta duração, ideal para entender a trilha antes de investir tempo nos módulos técnicos."
"74","Webdesign com IA","Construindo sites profissionais com Astro","1h 49min","JavaScript/TypeScript (Astro, GSAP)","Astro, Git, GitHub","Crie e publique sites rápidos, organizados e profissionais com Astro.","Criar sites modernos com Astro, estruturando páginas, layouts e componentes reutilizáveis. | Versionar o projeto no GitHub e publicar na Vercel com domínio próprio. | Aplicar responsividade, otimização de imagens e vídeos e transições entre páginas. | Melhorar performance e SEO com foco em Core Web Vitals e PageSpeed Insights. | Configurar Google Tag Manager, Google Analytics e Pixel da Meta Ads, validando os eventos disparados. | Integrar formulários para enviar os dados diretamente a uma planilha.","Introdução: Por que você precisa de uma ferramenta melhor que HTML puro | Conheça o Astro: sites rápidos por natureza / Astro, WordPress ou construtores prontos | Preparando seu computador: passo a passo, sem mistério | Como um site Astro se organiza: páginas, layouts e componentes | Aproveitando os sites que você já criou | O projeto do curso: um site completo de 3 páginas | Um cabeçalho e rodapé únicos pra todas as páginas | Primeira página: página inicial do site | Segunda página: página de catalogo | Terceira página: página com formulário de captura de dados | Guardando seu projeto na nuvem (GitHub sem trauma) | Publicando seu site na internet (deploy na Vercel) | Seu endereço próprio: comprando e conectando um domínio | Atualizou, publicou: o fluxo definitivo de trabalho | As notas que o Google dá pro seu site | Corrigindo a responsividade do site | Imagens e videos leves sem perder qualidade | Transições suaves e carregamento inteligente | Rumo à nota verde: a rodada final de otimização | O cartão de visitas do seu site | Preparando o link para o WhatsApp e as redes sociais | SEO também existe dentro da página | Avisando ao Google que o site existe | A central que organiza suas medições: GTM do zero | Instalando a tag do Google Analytics | Instalando o pixel da Meta | Conferindo se está tudo funcionando de verdade | Do formulário direto para uma planilha","4.9","Introdução: Por que você precisa de uma ferramenta melhor que HTML puro | Conheça o Astro: sites rápidos por natureza / Astro, WordPress ou construtores prontos | Preparando seu computador: passo a passo, sem mistério | Como um site Astro se organiza: páginas, layouts e componentes | Aproveitando os sites que você já criou | O projeto do curso: um site completo de 3 páginas | Um cabeçalho e rodapé únicos pra todas as páginas | Primeira página: página inicial do site | Segunda página: página de catalogo | Terceira página: página com formulário de captura de dados | Guardando seu projeto na nuvem (GitHub sem trauma) | Publicando seu site na internet (deploy na Vercel) | Seu endereço próprio: comprando e conectando um domínio | Atualizou, publicou: o fluxo definitivo de trabalho | As notas que o Google dá pro seu site | Corrigindo a responsividade do site | Imagens e videos leves sem perder qualidade | Transições suaves e carregamento inteligente | Rumo à nota verde: a rodada final de otimização | O cartão de visitas do seu site | Preparando o link para o WhatsApp e as redes sociais | SEO também existe dentro da página | Avisando ao Google que o site existe | A central que organiza suas medições: GTM do zero | Instalando a tag do Google Analytics | Instalando o pixel da Meta | Conferindo se está tudo funcionando de verdade | Do formulário direto para uma planilha","Recomendado concluir módulos anteriores da trilha 'Webdesign com IA' ou ter base em JavaScript/TypeScript (Astro, GSAP)","Avaliação interna alta, conteúdo consolidado."
"75","Agentes com GPT","Comece por aqui - Agentes com GPT","3min","GPT / Prompt Engineering","não encontrado","Conheça o caminho completo para dominar a criação e o uso de agentes com GPT. Curso de onboarding da Trilha.","não encontrado","não encontrado","4.9","Comece por aqui – Agentes com GPT","Nenhum - curso introdutório / onboarding","Curso de onboarding, curta duração, ideal para entender a trilha antes de investir tempo nos módulos técnicos."
"76","Aplicações AI com Python","Comece por aqui - Aplicações IA com Python","6min","Python","não encontrado","Conheça o caminho completo para dominar aplicações utilizando IA e Python. Curso de onboarding da Trilha.","não encontrado","não encontrado","4.9","Apresentação da Trilha – Aplicações AI com Python | Como esta trilha está organizada – Aplicações IA com Python","Nenhum - curso introdutório / onboarding","Curso de onboarding, curta duração, ideal para entender a trilha antes de investir tempo nos módulos técnicos."
"77","não encontrado","Comece por aqui - Trilha Dominando OpenClaw","5min","Geral / Conceitual (IA)","OpenClaw","Conheça o caminho completo para dominar o OpenClaw. Curso de onboarding da Trilha.","não encontrado","não encontrado","4.8","Comece por aqui – Trilha Dominando OpenClaw | Como a trilha está estruturada – Trilha Dominando OpenClaw","Nenhum - curso introdutório / onboarding","Curso de onboarding, curta duração, ideal para entender a trilha antes de investir tempo nos módulos técnicos."
"78","Aplicações AI com Python","Sistemas Multi-agentes com CrewAI","3h 49min","Python","CrewAI","Aprenda a construir sistemas multi-agentes com CrewAI, criando aplicações de IA mais robustas, flexíveis e especializadas em Python.","Entender a evolução das arquiteturas de IA: de LLMs simples a sistemas multi-agentes | Compreender os conceitos de Agent, Task, Crew e Tool no CrewAI | Criar agentes especializados e orquestrá-los em fluxos colaborativos | Identificar as limitações dos agentes individuais e quando usar arquitetura multi-agente | Construir aplicações de IA modulares e reutilizáveis em Python | Fazer deploy de Crews usando o CrewAI Enterprise | Expor sistemas multi-agentes como APIs e testá-las via Postman e Python","A grande oportunidade existente hoje no mercado de IA | O que é um agente? | Como pensar ao trabalhar com modelos de linguagem? | O que é um Multi-agent System? | Principais frameworks para Aplicações IA | Quiz – Multi-Agent Systems | O conceito central de CrewAI | Entendendo Crews, Agents, Tasks, Tools e Processes | Criando sua primeira Crew | Quiz – Introdução a CrewAI | Princípios da Engenharia de Prompt na criação de Crews | Estruturado Agents e Tasks com ajuda do ChatGPT | Quiz – Dicas para criação de Crews | Construindo um projeto pronto para produção | Projeto – Criando uma crew para criar crews | Projeto – Refinando a crew para criar crews | Quiz – Estrutura YAML para Crews | Observabilidade com AgentOps | Quiz – Observabilidade em CrewAI | Tools de CrewAI | Adicionando tools ao meu projeto | Criando tools personalizadas para CrewAI | Quiz – Tools de CrewAI | Criando um projeto pronto para deploy | Adicionando meu projeto ao GitHub | Fazendo deploy de uma crew | Quiz – Deploy da API","4.7","A grande oportunidade existente hoje no mercado de IA | O que é um agente? | Como pensar ao trabalhar com modelos de linguagem? | O que é um Multi-agent System? | Principais frameworks para Aplicações IA | Quiz – Multi-Agent Systems | O conceito central de CrewAI | Entendendo Crews, Agents, Tasks, Tools e Processes | Criando sua primeira Crew | Quiz – Introdução a CrewAI | Princípios da Engenharia de Prompt na criação de Crews | Estruturado Agents e Tasks com ajuda do ChatGPT | Quiz – Dicas para criação de Crews | Construindo um projeto pronto para produção | Projeto – Criando uma crew para criar crews | Projeto – Refinando a crew para criar crews | Quiz – Estrutura YAML para Crews | Observabilidade com AgentOps | Quiz – Observabilidade em CrewAI | Tools de CrewAI | Adicionando tools ao meu projeto | Criando tools personalizadas para CrewAI | Quiz – Tools de CrewAI | Criando um projeto pronto para deploy | Adicionando meu projeto ao GitHub | Fazendo deploy de uma crew | Quiz – Deploy da API","Recomendado concluir módulos anteriores da trilha 'Aplicações AI com Python' ou ter base em Python","Foco em agentes IA modernos, alta empregabilidade, stack atual do mercado (2025-2026)."
"79","Aplicações AI com Python","Criando Agentes com Agno","6h 10min","Python","LangChain, Agno","Aprenda a criar agentes de IA usando o Agno, o framework mais prático e moderno para aplicações IA de alta qualidade.","O que torna o Agno especial no contexto da IA | O conceito de agentes de IA e suas aplicações | Como um agente de IA executa tarefas de forma autônoma | Comparar o Agno com outras ferramentas como o Langchain | Como configurar o Agno para automatizar tarefas | Criar seu primeiro agente com o Agno e aplicar em um projeto real","O que o Agno tem de especial? | Aviso de versão | O que são agentes de IA? | Como um agente executa tarefas? | Agno ou Langchain? | Quiz 1 – Introdução | Configurando o Agno | Guia de Instalação e Configuração do Agno | Criando nosso primeiro Agente | Criando nossas proprias Tools | Usando o ChatGPT via API | AgentOS e AgentUI: instalação e integração | Storage | Memória | Adicionando conhecimento externo ao agente com RAG | Sistemas multi-agentes | Quiz 2 – Criando Agentes com Agno | O que é o deploy? | O que você precisa saber para fazer seu deploy | FastAPI – nossa escolha para deploy | Guia de Instalação e Configuração de Deploy com Agno | Como funciona uma API com FastAPI? | Criando endpoints para agentes com FastAPI | Agno AgentOS – uma alternativa simplificada | Frontend para sua API com AgentUI | Frontend para sua API com Streamlit | GitHub e Deploy no Render | Deploy do projeto no Render | Quiz 3 – Deploy com Agno | Teste Final – Criando Agentes com Agno","4.8","O que o Agno tem de especial? | Aviso de versão | O que são agentes de IA? | Como um agente executa tarefas? | Agno ou Langchain? | Quiz 1 – Introdução | Configurando o Agno | Guia de Instalação e Configuração do Agno | Criando nosso primeiro Agente | Criando nossas proprias Tools | Usando o ChatGPT via API | AgentOS e AgentUI: instalação e integração | Storage | Memória | Adicionando conhecimento externo ao agente com RAG | Sistemas multi-agentes | Quiz 2 – Criando Agentes com Agno | O que é o deploy? | O que você precisa saber para fazer seu deploy | FastAPI – nossa escolha para deploy | Guia de Instalação e Configuração de Deploy com Agno | Como funciona uma API com FastAPI? | Criando endpoints para agentes com FastAPI | Agno AgentOS – uma alternativa simplificada | Frontend para sua API com AgentUI | Frontend para sua API com Streamlit | GitHub e Deploy no Render | Deploy do projeto no Render | Quiz 3 – Deploy com Agno | Teste Final – Criando Agentes com Agno","Recomendado concluir módulos anteriores da trilha 'Aplicações AI com Python' ou ter base em Python","Foco em agentes IA modernos, alta empregabilidade, stack atual do mercado (2025-2026)."
"80","Análise de Dados com Python","Gráficos Interativos com Plotly","1h 2min","Python","NumPy, Plotly","Aprenda a criar gráficos interativos com a biblioteca Plotly. Explore vários tipos de gráficos e desenvolva habilidades de visualização de dados.","Introdução à Plotly e sua potência em visualização de dados | Criação de gráficos de barras, dispersão, histogramas, heatmaps e candlesticks | Uso do Plotly Express para gráficos simplificados | Exploração de personalização de gráficos","não encontrado","4.8","Introdução ao Plotly | Instalação Plotly | Utilizando o make subplots | Scatter Plots | Bar Charts | Pie Charts | Quiz – Gráficos básicos | Boxplots e Histogramas | Histogram2d e Heatmaps | Candlestick | Mesh3D | Plotly Express | Quiz – Gráficos avançados | Teste Final – Gráficos Interativos com Plotly","Recomendado concluir módulos anteriores da trilha 'Análise de Dados com Python' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"81","Trading Quantitativo","Construindo Base de Dados para Trading","2h 47min","Python","não encontrado","Aprenda a montar bases de dados para Trading Quantitativo com este curso prático. Explore TVDataFeed, Yahoo Finance e MetaTrader5 usando suas APIs.","Utilização das APIs do TVDataFeed, Yahoo Finance e MetaTrader5 | Importação de dados em tempo real e históricos para o Python | Comparação entre formatos de dados Parquet e CSV | Projeto: extraindo dados de mercado financeiro com MetaTrader | Construção de bases de dados para suportar estratégias de trading quantitativo | trading quantitativo | MetaTrader5","não encontrado","4.6","Apresentação do módulo | TVData Feed | Yahoo Finance | MetaTrader 5 pt1 | MetaTrader 5 pt2 | Manipulação de séries temporais | CSV x Parquet | Quiz 1 – Construindo Base de Dados para Trading | Introdução ao MetaTrader | MetaTrader5 | Comandos Básicos | A estrutura de um OHLC | Gráficos de Vela | Quiz 2 – Construindo Base de Dados para Trading | Tick Data | Inicializando a classe | Atualizando nosso OHLC | Atualizando Tick Data | Extraindo as informações | Testando a Classe | Teste Final – Construindo Base de Dados para Trading","Recomendado concluir módulos anteriores da trilha 'Trading Quantitativo' ou ter base em Python","Curso intermediário, bom para aprofundar e complementar trilha."
"82","Webdesign com IA","Fundamentos do Vibe Design","1h 20min","JavaScript/TypeScript + IA","Cursor, Antigravity","Domine o conceito de Vibe Design e crie interfaces utilizando AI, focando na extração de inteligência visual de referências para construir sites profissionais.","O Conceito de Vibe Design: Entender a mudança de paradigma do design operacional para o design supervisionado por IA. | Extração de Inteligência Visual: Como baixar sites de referência e converter o código original em um Living Design System. | Engenharia de Prompt de Elite: Domínio do ""Prompt de Mil Dólares"", uma estrutura otimizada para fazer a IA extrair classes CSS, animações e comportamentos com precisão absoluta, reduzindo sua variabilidade criativa indesejada. | Ferramentas de Desenvolvimento com IA: Instalação e uso do Cursor (pago) e do Antigravity (versão gratuita do Google) para codar interfaces através de agentes inteligentes. | Criação de Banco de Referências: Como montar e utilizar uma biblioteca de padrões visuais baseada no que os melhores designers humanos já criaram.","não encontrado","4.9","O que é Vibe Design? | O que serei capaz de fazer? | Erros comuns ao codar com AI | Image + Prompt | A base para o design system | Aplicando o DS | Quiz – Como Fazer a IA criar designs Incríveis | O banco de referências (e onde conseguir mais) | Usando o site downloader | Antigravity (e outras ferramentas para AI) | O prompt de $1.000 (extraindo design systems) | Teste Final","Recomendado concluir módulos anteriores da trilha 'Webdesign com IA' ou ter base em JavaScript/TypeScript + IA","Avaliação interna alta, conteúdo consolidado."
"83","Python para Web","Introdução a Python para web","31min","Python","não encontrado","Entenda conceitos como requisições, HTTP, frontend, servidores e deploy. Curso introdutório da trilha Python para Web.","Como funciona o acesso a um site | Diferença entre ser programador e criar soluções com código | O que são e como ocorrem requisições HTTP | A função do HTML e do frontend nos sites | O que é localhost e como ele é usado | Como identificar endereços de IP na internet | O que é necessário para hospedar um site | Como funciona o processo de deploy de aplicações","não encontrado","4.9","A trilha para tirar suas ideias do papel | Quem é você? Desenvolvedor web ou resolvedor de problemas? | Como a trilha está organizada? O que você vai aprender? | O que acontece quando você acessa um site? | O que são requisições HTTP? Métodos e funcionamento | O papel do HTML e do Frontend | Quizz: Fundamentos da Web com Python | Entendendo o localhost e endereços de IP | Hospedagem e deploy – como tornar seu site acessível pela web | Teste Final: Introdução à Python para Web","Nenhum - curso introdutório / onboarding","Avaliação interna alta, conteúdo consolidado."
"84","Criando agentes de atendimento no N8N","Comece aqui - Nível intermediário Engenheiros de Agentes de IA","1min","n8n (No-Code/Low-Code)","n8n","Samuel Sublate Desenvolvedor de Software Faz parte da trilha Criando agentes de atendimento no N8N Comunidade Todos os direitos reservados. Política de Privacidade - Termos de Uso","não encontrado","não encontrado","4.9","Assista essa aula antes de começar o nível intermediário","Recomendado concluir módulos anteriores da trilha 'Criando agentes de atendimento no N8N' ou ter base em n8n (No-Code/Low-Code)","Avaliação interna alta, conteúdo consolidado."
"85","Webdesign com IA","Comece por aqui - Trilha Sites Profissionais com IA","3min","Python","Astro, GSAP, IA Generativa (Gemini/Seedream)","Rodrigo Tadewald Sócio-fundador da Asimov | Instrutor de Python Engenheiro Químico formado pela UFRGS, aprendeu Python em 2014 para analisar dados no mercado financeiro. Especializou-se em Machine Learning, computação em nuvem, probabilidade e estatística. É sócio-fundador da Asimov Trading e da Asimov Academy.","não encontrado","não encontrado","4.9","Apresentação – Trilha AI Designer | Comece por aqui – Trilha AI Designer","Nenhum - curso introdutório / onboarding","Curso de onboarding, curta duração, ideal para entender a trilha antes de investir tempo nos módulos técnicos."
"86","não encontrado","Aplicações IA - Comece por aqui","12min","Python","não encontrado","Entenda seus caminhos para aprender IA na Asimov Academy! Curso de onboarding das trilhas de Aplicações IA com Python.","Entender a diferença entre assistentes e agentes de IA | Compreender por que Python é a principal linguagem para desenvolver aplicações de IA | Conhecer a estrutura e a progressão da trilha de Aplicações IA | Identificar qual caminho de estudo faz mais sentido para o seu perfil e objetivos","não encontrado","4.9","Abertura da Trilha | Assistentes X Agentes | Por que utilizar Python? | Como essa Trilha está organizada? | Quiz – Aplicações IA","Nenhum - curso introdutório / onboarding","Curso de onboarding, curta duração, ideal para entender a trilha antes de investir tempo nos módulos técnicos."
"87","Automatizando Tudo com n8n","Comece por aqui - N8N","5min","n8n (No-Code/Low-Code)","n8n","Conheça o caminho completo para dominar o n8n e multiplicar sua produtividade. Curso de onboarding da Trilha.","não encontrado","não encontrado","4.9","Apresentação da trilha | Como a trilha está organizada?","Nenhum - curso introdutório / onboarding","Curso de onboarding, curta duração, ideal para entender a trilha antes de investir tempo nos módulos técnicos."
"88","Dominando Openclaw","Dominando o OpenClaw","2h 14min","OpenClaw/IA","OpenClaw","Aprenda como o OpenClaw funciona de verdade. Workspace, memória, canais, skills e automações para transformar IA em agente que age, lembra e evolui.","Entender o que é o OpenClaw e como ele difere de chats como ChatGPT e Claude | Instalar e configurar o OpenClaw em qualquer sistema operacional (Mac, Linux, Windows) | Compreender a estrutura de workspace e os arquivos que formam a memória do agente | Conectar canais externos como Telegram e WhatsApp para interagir pelo celular | Criar skills do zero via chat, pedindo ao agente que escreva e execute scripts | Instalar skills prontas do CloudHub para expandir as capacidades do agente | Agendar automações com CronJobs para tarefas recorrentes sem intervenção manual | Gerenciar o consumo de tokens e estimar custos reais de uso contínuo","não encontrado","4.8","Introdução – Dominando o OpenClaw | Introdução ao OpenClaw | Instalação do OpenClaw | Como OpenClaw funciona | Workspace em profundidade | Canais | Tools, skills e automações | Conclusão","Recomendado concluir módulos anteriores da trilha 'Dominando Openclaw' ou ter base em OpenClaw/IA","Avaliação interna alta, conteúdo consolidado."
"89","Aplicações AI com Python","Modelos Alternativos com Hugging Face","7h 51min","Python","Hugging Face","Use modelos de IA open source do Hugging Face para imagens, áudio e texto com Python, sem pagar nada.","Explorar e filtrar modelos no Hugging Face por tarefa, linguagem e licença | Instalar e usar a biblioteca Transformers do Hugging Face em Python | Executar modelos de IA localmente com o objeto pipeline | Aplicar modelos para tarefas de áudio: transcrição, narração e classificação de idioma | Aplicar modelos para tarefas de imagem: classificação, detecção de objetos e geração | Entender como imagens e áudios são representados internamente pelo computador | Usar a Inference API do Hugging Face para testar modelos sem baixá-los | Combinar diferentes modelos como blocos para construir aplicações práticas","O que é Hugging Face? | A plataforma Hugging Face | Testando nossa primeira IA em tempo recorde | Testando e comparando com outros modelos | A biblioteca transformers | Modelos de conversação e geração de texto (chatbots) | Criando uma estrutura de chat | Acessando modelos de IA através da Inference API | Conversando com um chatbot pela Inference API | Modelos restritos e outras considerações | Miniprojeto – webapp com múltiplos chatbots | Quiz – Transformers e Inference API | Utilizando IAs de tradução | Utilizando IAs de resumo | Classificando textos com IAs | Quiz – Outros modelos do Hugging Face | Acessando Datasets do Hugging Face | Conhecendo a comunidade do Hugging Face | Criando um Space com nosso webapp | Considerações sobre o deploy e encerramento | Quiz – Datasets e Spaces | Um panorama atual das IAs | Revisitando o Hugging Face | O que são arquivos de áudio? | Classificação de áudio | Outros exemplos de classificação de áudio | Transcrição de áudio – reconhecimento de voz | Texto para áudio – narrador de texto | Quiz – Utilizando IAs para Áudio","4.9","O que é Hugging Face? | A plataforma Hugging Face | Testando nossa primeira IA em tempo recorde | Testando e comparando com outros modelos | A biblioteca transformers | Modelos de conversação e geração de texto (chatbots) | Criando uma estrutura de chat | Acessando modelos de IA através da Inference API | Conversando com um chatbot pela Inference API | Modelos restritos e outras considerações | Miniprojeto – webapp com múltiplos chatbots | Quiz – Transformers e Inference API | Utilizando IAs de tradução | Utilizando IAs de resumo | Classificando textos com IAs | Quiz – Outros modelos do Hugging Face | Acessando Datasets do Hugging Face | Conhecendo a comunidade do Hugging Face | Criando um Space com nosso webapp | Considerações sobre o deploy e encerramento | Quiz – Datasets e Spaces | Um panorama atual das IAs | Revisitando o Hugging Face | O que são arquivos de áudio? | Classificação de áudio | Outros exemplos de classificação de áudio | Transcrição de áudio – reconhecimento de voz | Texto para áudio – narrador de texto | Quiz – Utilizando IAs para Áudio","Recomendado concluir módulos anteriores da trilha 'Aplicações AI com Python' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"90","Engenharia de Dados com Python","Linux na Prática: S.O. mais Utilizado no Mercado","3h 42min","Python","não encontrado","Aprenda, na prática, como usar o Linux: instale em uma máquina virtual, explore o terminal e domine os comandos essenciais para trabalhar com dados.","O que é o sistema operacional Linux e por que ele é tão utilizado na área de dados | Como funcionam as máquinas virtuais e para que elas servem | Instalar o Linux no VirtualBox de forma prática e guiada | Navegar pela interface gráfica do Linux e entender sua estrutura de pastas | Usar o terminal para interagir com o sistema de forma eficiente | Dominar os principais comandos básicos do terminal | Compartilhar arquivos entre seu computador e a máquina virtual de forma simples | Ganhar confiança para utilizar o Linux nos próximos cursos da trilha e em projetos próprios","não encontrado","4.8","Introdução | O que é o Linux? | Máquina Virtual | Instalação do VirtualBox | Configurando VM no VirtualBox | Instalação do Linux | Configurações Avançadas da Máquina Virtual | Interface Gráfica do Linux | Introdução ao Shell | Caminhos Relativos e Absolutos | Criando e Deletando Arquivos e Diretórios pelo Shell | Permissões de Arquivos: Usuário e Grupos | Link Simbólico | Comando SUDO | Comandos CHOWN e CHMOD | Gerenciamento de Processos | Gerenciamento de Usuários e Grupos no Linux | Gerenciamento de Pacotes no Linux | Usando Documentação de Comandos | Uso de PIPE | Instalação do Python e VScode | Editor no Terminal – Micro | Instalação de Adicionais de Convidado do VirtualBOX | Utilizando Adicionais de Convidado do VirtualBox","Recomendado concluir módulos anteriores da trilha 'Engenharia de Dados com Python' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
